dte,short_delta,long_delta,stop_loss,vix_min,initial_capital,final_value,total_pnl,total_return_pct,annualized_return_pct,sharpe_ratio,sortino_ratio,max_drawdown_pct,calmar_ratio,volatility_pct,total_trades,winning_trades,losing_trades,win_rate_pct,avg_win,avg_loss,largest_win,largest_loss,profit_factor,avg_days_in_trade,positive_months,total_months,positive_months_pct,best_month_pct,worst_month_pct,avg_monthly_return_pct
35,0.2,0.1,0.5,10,10000,11749.110622730754,1749.1106227307537,17.491106227307537,11.440577814040353,0.44859513716096006,0.5054215559713005,-40.5218052133918,0.28281200416962954,29.73496543311123,49,42,7,85.71428571428571,302.4199820812336,-1513.7341641490516,530.4616407173924,-2424.603145548707,1.198704459119767,14.224489795918368,10,17,58.82352941176471,14.717784688416625,-15.899684861427922,1.3458191758481541
35,0.2,0.1,0.5,20,10000,11255.229187991166,1255.2291879911663,12.552291879911664,8.270494024563014,0.3667101698182925,0.34281892065361347,-28.174263795851033,0.2942194059834045,24.749020889157634,28,25,3,89.28571428571429,275.62215316127595,-1838.4701214743127,440.3714801655922,-1943.8814824703907,1.2493274976381268,12.285714285714286,13,17,76.47058823529412,9.490363161502046,-13.379013178388966,0.8269965902537686
35,0.2,0.1,0.9,10,10000,11512.26865940134,1512.2686594013394,15.122686594013393,9.92592672624053,0.3959065541335478,0.4614266236410048,-44.991639459217375,0.22104411573648267,31.867737678512313,47,40,7,85.1063829787234,301.8422155425222,-1483.968867232626,530.4616407173924,-2649.0545944821715,1.1622970658808325,14.829787234042554,10,17,58.82352941176471,14.717784688416625,-17.237661982080652,1.218949401458795
35,0.2,0.1,0.9,20,10000,12045.581933182088,2045.5819331820876,20.455819331820877,13.322532695764998,0.5379398066901394,0.5252515307634258,-27.839649320125254,0.4792566371766365,25.89821778812711,26,23,3,88.46153846153845,284.8223489268492,-1476.5854362643759,440.3714801655922,-1918.3262965682302,1.4788429811170145,13.153846153846153,13,17,76.47058823529412,9.490363161502046,-13.379013178388966,1.187319557417814
35,0.2,0.14,0.5,10,10000,11976.14583536693,1976.1458353669295,19.761458353669294,12.883138323383857,0.4739021205462299,0.5419106061761897,-48.47104384159409,0.26640095533178193,33.321120969802664,80,68,12,85.0,262.5131854262496,-1267.6783442793196,655.095710137679,-3556.25813321907,1.1734638555027985,14.65,10,17,58.82352941176471,16.247780062513705,-17.793972932873725,1.6975099416278217
35,0.2,0.14,0.5,20,10000,10387.71221291213,387.7122129121308,3.8771221291213074,2.5891375929008476,0.1655655770965028,0.15504226364404958,-38.29900041325712,0.06830551437358574,28.65489042226244,40,34,6,85.0,272.14366898220214,-1417.391889779535,590.0431620721447,-2380.4457136849587,1.0880176955193965,13.3,11,17,64.70588235294117,12.889576719973084,-17.47239194418315,0.5366823535962312
35,0.2,0.14,0.9,10,10000,13111.907359422776,3111.9073594227757,31.119073594227757,19.969670502961968,0.628837838535852,0.77934673728942,-46.80604637203644,0.4273192025241178,36.611654233819024,74,64,10,86.48648648648648,253.88155619357485,-1275.2876223489404,549.3452070097576,-3732.9191421442856,1.2740984317295403,15.35135135135135,10,17,58.82352941176471,16.247780062513705,-18.153776883294782,2.169344602185219
35,0.2,0.14,0.9,20,10000,11870.210714135372,1870.2107141353717,18.702107141353718,12.211163077487841,0.4659587817683506,0.46792381014723805,-33.23906693288935,0.3682588622429059,30.82445292702023,38,31,7,81.57894736842105,263.49643161418027,-870.66851457782,590.0431620721447,-2273.055507476285,1.3402491867331512,14.868421052631579,12,17,70.58823529411765,12.889576719973084,-16.683198447945145,1.2819653266451307
35,0.2,0.18,0.5,10,10000,11312.137472131155,1312.137472131155,13.121374721311549,8.63806488341905,0.35848634135036245,0.42474390412730206,-47.842046680302225,0.18194350824112782,36.10636713038616,45,35,10,77.77777777777779,444.6975783964215,-1350.759671552139,881.7273745700312,-3556.837263587493,1.1522712420033907,16.11111111111111,11,17,64.70588235294117,14.867330961917414,-19.1980370640783,1.2889413266181688
35,0.2,0.18,0.5,20,10000,10349.80154642479,349.8015464247892,3.498015464247892,2.3373858747516296,0.17727196155193203,0.16801452568225758,-41.20941096980908,0.05823948521695962,32.70475782274861,28,21,7,75.0,434.9704721360691,-1175.8992777483152,698.5004081102262,-3094.213616756072,1.1097135963098237,14.0,11,17,64.70588235294117,12.784534755724053,-19.728050689786425,0.5197620003525628
