near_dte,far_dte,target_delta,profit_target,stop_loss,vix_min,vix_max,dte_exit,initial_capital,final_value,total_pnl,total_return_pct,annualized_return_pct,sharpe_ratio,sortino_ratio,max_drawdown_pct,calmar_ratio,volatility_pct,total_trades,winning_trades,losing_trades,win_rate_pct,avg_win,avg_loss,largest_win,largest_loss,profit_factor,avg_days_in_trade,positive_months,total_months,positive_months_pct,best_month_pct,worst_month_pct,avg_monthly_return_pct,stability_score,stability_n
7,39,0.45,0.4,-0.1999999999999999,10,30,5,10000,17384.44609597815,7384.44609597815,73.8444609597815,15.817172197129617,2.369289271166344,2.871904255187545,-4.150572805462822,3.811804138808727,5.425227565784646,296,209,87,70.6081081081081,63.09267184414108,-60.78646344192619,639.5422523691113,-333.37466906773125,2.493440882535818,2.4695945945945947,28,45,62.22222222222222,8.004040501771815,-1.7349057847768967,1.18709877905855,1.8805221903086031,186
7,39,0.45,0.5,-0.1999999999999999,10,30,5,10000,17384.44609597815,7384.44609597815,73.8444609597815,15.817172197129617,2.369289271166344,2.871904255187545,-4.150572805462822,3.811804138808727,5.425227565784646,296,209,87,70.6081081081081,63.09267184414108,-60.78646344192619,639.5422523691113,-333.37466906773125,2.493440882535818,2.4695945945945947,28,45,62.22222222222222,8.004040501771815,-1.7349057847768967,1.18709877905855,1.8508211968774049,169
7,39,0.45,0.6,-0.1999999999999999,10,30,5,10000,17384.44609597815,7384.44609597815,73.8444609597815,15.817172197129617,2.369289271166344,2.871904255187545,-4.150572805462822,3.811804138808727,5.425227565784646,296,209,87,70.6081081081081,63.09267184414108,-60.78646344192619,639.5422523691113,-333.37466906773125,2.493440882535818,2.4695945945945947,28,45,62.22222222222222,8.004040501771815,-1.7349057847768967,1.18709877905855,1.853924667726239,85
7,39,0.45,0.3,-0.1999999999999999,10,30,5,10000,17384.44609597815,7384.44609597815,73.8444609597815,15.817172197129617,2.369289271166344,2.871904255187545,-4.150572805462822,3.811804138808727,5.425227565784646,296,209,87,70.6081081081081,63.09267184414108,-60.78646344192619,639.5422523691113,-333.37466906773125,2.493440882535818,2.4695945945945947,28,45,62.22222222222222,8.004040501771815,-1.7349057847768967,1.18709877905855,1.849129657546212,163
7,39,0.45,0.4,-0.1999999999999999,5,30,5,10000,17384.44609597815,7384.44609597815,73.8444609597815,15.817172197129617,2.369289271166344,2.871904255187545,-4.150572805462822,3.811804138808727,5.425227565784646,296,209,87,70.6081081081081,63.09267184414108,-60.78646344192619,639.5422523691113,-333.37466906773125,2.493440882535818,2.4695945945945947,28,45,62.22222222222222,8.004040501771815,-1.7349057847768967,1.18709877905855,1.964893868681583,165
7,39,0.45,0.2,-0.1999999999999999,10,30,5,10000,17384.44609597815,7384.44609597815,73.8444609597815,15.817172197129617,2.369289271166344,2.871904255187545,-4.150572805462822,3.811804138808727,5.425227565784646,296,209,87,70.6081081081081,63.09267184414108,-60.78646344192619,639.5422523691113,-333.37466906773125,2.493440882535818,2.4695945945945947,28,45,62.22222222222222,8.004040501771815,-1.7349057847768967,1.18709877905855,1.7978067041600794,86
7,39,0.45,0.3,-0.1999999999999999,5,30,5,10000,17384.44609597815,7384.44609597815,73.8444609597815,15.817172197129617,2.369289271166344,2.871904255187545,-4.150572805462822,3.811804138808727,5.425227565784646,296,209,87,70.6081081081081,63.09267184414108,-60.78646344192619,639.5422523691113,-333.37466906773125,2.493440882535818,2.4695945945945947,28,45,62.22222222222222,8.004040501771815,-1.7349057847768967,1.18709877905855,1.9354730624450456,144
7,39,0.45,0.5,-0.1999999999999999,5,30,5,10000,17384.44609597815,7384.44609597815,73.8444609597815,15.817172197129617,2.369289271166344,2.871904255187545,-4.150572805462822,3.811804138808727,5.425227565784646,296,209,87,70.6081081081081,63.09267184414108,-60.78646344192619,639.5422523691113,-333.37466906773125,2.493440882535818,2.4695945945945947,28,45,62.22222222222222,8.004040501771815,-1.7349057847768967,1.18709877905855,1.9345842570741765,148
7,39,0.45,0.3,-0.3,10,25,5,10000,17225.082756562697,7225.082756562697,72.25082756562698,15.534292245719584,2.363777130175713,2.945784340528194,-4.193225207961152,3.704616727054528,5.330619369129638,290,205,85,70.6896551724138,62.3796039534374,-59.571012398731845,639.5422523691113,-273.0836644471019,2.5254720563557567,2.4827586206896552,29,45,64.44444444444444,8.08718376884563,-1.7457604338653954,1.1885699437123212,1.9073647001026013,112
7,39,0.45,0.4,-0.3,5,25,5,10000,17225.082756562697,7225.082756562697,72.25082756562698,15.534292245719584,2.363777130175713,2.945784340528194,-4.193225207961152,3.704616727054528,5.330619369129638,290,205,85,70.6896551724138,62.3796039534374,-59.571012398731845,639.5422523691113,-273.0836644471019,2.5254720563557567,2.4827586206896552,29,45,64.44444444444444,8.08718376884563,-1.7457604338653954,1.1885699437123212,2.032323402215677,115
7,39,0.45,0.3,-0.3,5,40,5,10000,17263.61204000125,7263.612040001251,72.63612040001252,15.602859763389908,2.330061092186916,2.766674026261216,-4.123252800169162,3.785082196541247,5.437245239713416,296,209,87,70.6081081081081,62.79154996678773,-61.45197589721405,639.5422523691113,-332.98020903604424,2.4546658770309358,2.47972972972973,28,45,62.22222222222222,7.950794645416503,-2.630407638828791,1.1725052133000124,1.9843401514800911,143
7,39,0.45,0.4,-0.4,5,40,5,10000,17263.61204000125,7263.612040001251,72.63612040001252,15.602859763389908,2.330061092186916,2.766674026261216,-4.123252800169162,3.785082196541247,5.437245239713416,296,209,87,70.6081081081081,62.79154996678773,-61.45197589721405,639.5422523691113,-332.98020903604424,2.4546658770309358,2.47972972972973,28,45,62.22222222222222,7.950794645416503,-2.630407638828791,1.1725052133000124,1.9746892206573552,128
7,39,0.45,0.2,-0.5,5,45,5,10000,17263.61204000125,7263.612040001251,72.63612040001252,15.602859763389908,2.330061092186916,2.766674026261216,-4.123252800169162,3.785082196541247,5.437245239713416,296,209,87,70.6081081081081,62.79154996678773,-61.45197589721405,639.5422523691113,-332.98020903604424,2.4546658770309358,2.47972972972973,28,45,62.22222222222222,7.950794645416503,-2.630407638828791,1.1725052133000124,2.005270364168143,100
7,39,0.45,0.3,-0.5,10,50,5,10000,17263.61204000125,7263.612040001251,72.63612040001252,15.602859763389908,2.330061092186916,2.766674026261216,-4.123252800169162,3.785082196541247,5.437245239713416,296,209,87,70.6081081081081,62.79154996678773,-61.45197589721405,639.5422523691113,-332.98020903604424,2.4546658770309358,2.47972972972973,28,45,62.22222222222222,7.950794645416503,-2.630407638828791,1.1725052133000124,1.897967624219787,97
7,39,0.45,0.2,-0.4,5,40,5,10000,17263.61204000125,7263.612040001251,72.63612040001252,15.602859763389908,2.330061092186916,2.766674026261216,-4.123252800169162,3.785082196541247,5.437245239713416,296,209,87,70.6081081081081,62.79154996678773,-61.45197589721405,639.5422523691113,-332.98020903604424,2.4546658770309358,2.47972972972973,28,45,62.22222222222222,7.950794645416503,-2.630407638828791,1.1725052133000124,1.9876640900432436,134
7,39,0.45,0.3,-0.4,5,60,5,10000,17263.61204000125,7263.612040001251,72.63612040001252,15.602859763389908,2.330061092186916,2.766674026261216,-4.123252800169162,3.785082196541247,5.437245239713416,296,209,87,70.6081081081081,62.79154996678773,-61.45197589721405,639.5422523691113,-332.98020903604424,2.4546658770309358,2.47972972972973,28,45,62.22222222222222,7.950794645416503,-2.630407638828791,1.1725052133000124,1.9407242259819049,34
7,39,0.45,0.3,-0.4,5,40,5,10000,17263.61204000125,7263.612040001251,72.63612040001252,15.602859763389908,2.330061092186916,2.766674026261216,-4.123252800169162,3.785082196541247,5.437245239713416,296,209,87,70.6081081081081,62.79154996678773,-61.45197589721405,639.5422523691113,-332.98020903604424,2.4546658770309358,2.47972972972973,28,45,62.22222222222222,7.950794645416503,-2.630407638828791,1.1725052133000124,2.003137270080229,165
7,39,0.45,0.2,-0.4,10,45,5,10000,17263.61204000125,7263.612040001251,72.63612040001252,15.602859763389908,2.330061092186916,2.766674026261216,-4.123252800169162,3.785082196541247,5.437245239713416,296,209,87,70.6081081081081,62.79154996678773,-61.45197589721405,639.5422523691113,-332.98020903604424,2.4546658770309358,2.47972972972973,28,45,62.22222222222222,7.950794645416503,-2.630407638828791,1.1725052133000124,1.92777079689272,160
7,39,0.45,0.2,-0.4,5,50,5,10000,17263.61204000125,7263.612040001251,72.63612040001252,15.602859763389908,2.330061092186916,2.766674026261216,-4.123252800169162,3.785082196541247,5.437245239713416,296,209,87,70.6081081081081,62.79154996678773,-61.45197589721405,639.5422523691113,-332.98020903604424,2.4546658770309358,2.47972972972973,28,45,62.22222222222222,7.950794645416503,-2.630407638828791,1.1725052133000124,1.982366928800677,117
7,39,0.45,0.5,-0.4,10,35,5,10000,17263.61204000125,7263.612040001251,72.63612040001252,15.602859763389908,2.330061092186916,2.766674026261216,-4.123252800169162,3.785082196541247,5.437245239713416,296,209,87,70.6081081081081,62.79154996678773,-61.45197589721405,639.5422523691113,-332.98020903604424,2.4546658770309358,2.47972972972973,28,45,62.22222222222222,7.950794645416503,-2.630407638828791,1.1725052133000124,1.897967058829412,79
