short_delta,wing,max_risk_percent,cagr_pct,sharpe,sortino,max_dd_pct,calmar,win_rate_pct,profit_factor,trades,return_pct,avg_width,avg_credit,avg_contracts,avg_days,friction_pct_of_credit,total_friction_dollars
0.16,w5,5,-0.5705995060300117,-0.8631453036457571,-0.8647831800935398,-10.271184175879425,0.0555534295032886,65.61797752808988,1.0070438627846112,445,-4.741099874327628,5.0,0.4197331764461229,1.804494382022472,6.901123595505618,0.0874280532933875,1996.1726068990029
0.16,w5,10,-1.5331298840282837,-0.6085103637414695,-0.6107181546289217,-19.83565324354151,0.0772916255998511,65.38461538461539,0.9716945034391352,442,-12.290625302835924,5.0,0.4197008759086896,3.300904977375565,6.904977375565611,0.0873211110986928,3665.234233691716
0.16,w5,15,-2.7713544088226127,-0.497395894893459,-0.5000166773989616,-32.652573580389124,0.0848739962869899,65.98639455782312,0.9511688217342354,441,-21.22356686313342,5.0,0.4223323142523916,4.841269841269841,6.904761904761905,0.0870273005275446,5376.801546442813
0.16,w5,20,-3.505204552729446,-0.4075273919267097,-0.4133381200646666,-40.297908220377884,0.0869822952983185,65.41019955654102,0.9564925001054674,451,-26.130094911185925,5.0,0.4252928188381823,6.075388026607539,6.940133037694014,0.086053746632955,6896.056692044216
0.16,w5,30,-6.2763426217987694,-0.367393919303933,-0.3695235681491036,-56.81326028198427,0.110473199225798,66.5943600867679,0.9279178092878732,461,-42.31623964286401,5.0,0.4250282407083465,7.856832971800434,6.908893709327549,0.0859039613259979,9089.489398950203
0.16,w10,5,0.352560342531083,-0.6287414235436625,-0.6134475404730914,-6.985149627165987,0.0504728404327859,71.32530120481928,1.1166566733705137,415,3.0323703704971194,10.0,0.7349052203283531,1.0,6.879518072289157,0.0383845347156914,1023.7513487044664
0.16,w10,10,0.2565337796972766,-0.3260040723368591,-0.3142318575203505,-13.162035884778126,0.01949043308672,70.86956521739131,1.0750748756744868,460,2.19851377063811,10.0,0.7180190628310262,1.6391304347826088,6.863043478260869,0.0546585995023599,1867.091469473663
0.16,w10,15,0.1103615454886908,-0.2176668839777205,-0.2097948710658961,-18.911151785910164,0.0058357918511825,69.54545454545455,1.0582790651922238,440,0.9406392402089476,10.0,0.7105921839763867,2.522727272727273,6.852272727272728,0.056136906233027,2772.750265982543
0.16,w10,20,-0.1996872470231059,-0.1718883531784037,-0.168030776092643,-26.502715446779774,0.0075345957445039,70.37037037037037,1.0416672647365417,459,-1.682346740264802,10.0,0.7210770024052097,3.1633986928104574,6.893246187363834,0.0547179115491775,3636.1850966972033
0.16,w10,30,-0.8553939368539987,-0.1051295061266677,-0.1024028179751302,-39.81210084485201,0.0214857774069113,70.13274336283186,1.0252781448836663,452,-7.032384209517331,10.0,0.720634284888082,4.738938053097345,6.86283185840708,0.0550476717215075,5370.351177994032
0.16,w15,5,0.0,-9.294110888045544e+16,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,
0.16,w15,10,0.30278677633222,-0.4653509478178541,-0.4481198136610182,-10.583624173248127,0.0286089879398367,70.4225352112676,1.0791747727967589,426,2.5994102775465584,15.0,0.9064049341766218,1.0,6.816901408450704,0.0445679649207554,1065.9902482260477
0.16,w15,15,-1.225772808667347,-0.5501912626090301,-0.4826241909530467,-16.365923856109127,0.0748978682440702,70.1098901098901,0.9351120124315724,455,-9.939426122527276,15.0,0.9237356131069292,1.1846153846153846,6.87032967032967,0.0428581214028257,1329.2374714961538
0.16,w15,20,0.6331204317470585,-0.1430733627188376,-0.137364897314431,-20.85761174353341,0.0303544068003542,70.32710280373831,1.078944451269635,428,5.503132753351947,15.0,0.9090589903683736,2.0257009345794392,6.824766355140187,0.044435419866746,2168.443481870705
0.16,w15,30,-0.6262055390718779,-0.1367028845273837,-0.1281776413439086,-35.30686876783409,0.0177360825506671,70.25171624713958,1.0123839747843126,437,-5.192346215481812,15.0,0.91570813459341,2.9725400457665905,6.832951945080092,0.0439231903751895,3238.1229154055686
0.16,w20,5,0.0,-9.294110888045544e+16,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,
0.16,w20,10,-1.3251161267790246,-1.7640192929919842,-0.5539629239333173,-11.228565231706964,0.118012951738232,60.37735849056604,0.4354813628816193,53,-10.705384315962949,20.0,0.8487777687145068,1.0,7.056603773584905,0.0284648635834901,121.88360958718792
0.16,w20,15,0.2689499648250937,-0.3818665044255022,-0.3631168261715857,-12.8910612248071,0.0208632912477008,71.62790697674419,1.062055404769345,430,2.30599477053318,20.0,1.0251638180877811,1.0,6.744186046511628,0.0456542782975885,1075.1542217084125
0.16,w20,20,-1.131754567200427,-0.5176483280360304,-0.4486424211281244,-21.49711119209238,0.052646821104816,71.42857142857143,0.9356560439296528,434,-9.209192894275002,20.0,1.0285512751402917,1.0529953917050692,6.748847926267281,0.0453979852140644,1138.235812341596
0.16,w20,30,-0.6235204103527403,-0.189309495227247,-0.1747285794107161,-34.34110022486751,0.0181566812440455,71.0467706013363,1.0001934789583784,449,-5.1705996430514825,20.0,1.0382831321315338,1.982182628062361,6.788418708240535,0.0444979525000355,2220.2916350838887
0.16,w30,5,0.0,-9.294110888045544e+16,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,
0.16,w30,10,0.0,-9.294110888045544e+16,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,
