short_delta,wing,max_risk_percent,cagr_pct,sharpe,sortino,max_dd_pct,calmar,win_rate_pct,profit_factor,trades,return_pct,avg_width,avg_credit,avg_contracts,avg_days,friction_pct_of_credit,total_friction_dollars
0.2,w5,5,-0.024866829977199245,-0.5385159032949249,-0.5727477882805502,-10.7292186564394,0.0023176738934549365,66.59142212189616,1.0716752344952265,443,-0.2108756132336566,5.0,0.5820499430552395,1.9187358916478556,6.936794582392777,0.05398463804739215,2221.360572727869
0.2,w5,10,-0.3297191536007271,-0.2805805108666005,-0.2914523401633134,-21.359044132483255,0.015436980772902835,66.21315192743764,1.053113670784436,441,-2.764383475693467,5.0,0.5865060500115893,3.614512471655329,6.950113378684807,0.053216514621639455,4160.867264278166
0.2,w5,15,-1.668037691126123,-0.26209222501348234,-0.2656261251556981,-35.794089253528874,0.046600925625218254,66.88741721854305,1.0050784702440425,453,-13.305415621869251,5.0,0.5872744561162898,4.874172185430464,6.964679911699779,0.05303064750088113,5770.2218016582865
0.2,w5,20,-2.1376131114520525,-0.1901598141231002,-0.19540722484433212,-45.5624173945788,0.046916147862391386,65.72668112798264,1.0045336999749153,461,-16.757320453387784,5.0,0.5898428025452589,6.056399132321041,6.96529284164859,0.0524869668860512,7276.269841755124
0.2,w5,30,-4.857896304529074,-0.1666229130140471,-0.16837835011384078,-62.943232283400306,0.07717900921669417,65.0,0.9638815682292733,480,-34.4721616559037,5.0,0.5900793297135942,7.25625,6.960416666666666,0.05226786956030381,9017.958952117375
0.2,w10,5,0.9199222871297819,-0.3356763324923802,-0.3530212925312103,-8.134234866271566,0.11309266356989768,68.75,1.1741219677943562,432,8.082745723618356,10.0,0.9952278213691466,1.0,6.875,0.029396934782854482,1126.1267452569923
0.2,w10,10,1.3315067698949523,-0.07790560612743572,-0.08035074904009191,-15.673310023913439,0.08495376968001114,69.04231625835189,1.138243294821273,449,11.881908906280696,10.0,0.9782445031461915,1.8151447661469933,6.864142538975501,0.03583106213570923,2100.121875483526
0.2,w10,15,1.3281230296908308,-0.02649728749019923,-0.02708693172874227,-22.487246340294767,0.059061167810083304,69.16299559471366,1.108673864366194,454,11.850200944532244,10.0,0.9869195582290315,2.502202643171806,6.850220264317181,0.0353206756390751,2950.889131991811
0.2,w10,20,1.4141004464538032,0.018661314626603025,0.019041412152918196,-32.682165738482794,0.04326826005868759,69.07894736842105,1.0931833479105424,456,12.658331321898677,10.0,0.9850113379545699,3.3530701754385963,6.87719298245614,0.03535708029784765,3982.7194184195746
0.2,w10,30,1.0801635001558285,0.056367551084731134,0.05731693737702654,-46.10065601076617,0.023430545107721922,67.94871794871796,1.0666814290796618,468,9.548114455053565,10.0,0.9924386640101538,4.660256410256411,6.886752136752137,0.03490721868921923,5668.200235167498
