dte,short_delta,long_delta,profit_target,stop_loss,dte_min,initial_capital,final_value,total_pnl,total_return_pct,annualized_return_pct,sharpe_ratio,sortino_ratio,max_drawdown_pct,calmar_ratio,volatility_pct,total_trades,winning_trades,losing_trades,win_rate_pct,avg_win,avg_loss,largest_win,largest_loss,profit_factor,avg_days_in_trade,positive_months,total_months,positive_months_pct,best_month_pct,worst_month_pct,avg_monthly_return_pct,below_min_trades,stability_score,stability_n
21,0.35,0.15,0.8,0.30000000000000004,5,150000,229890.0009964132,79890.0009964132,53.260000664275466,7.431413056457203,0.7411270426967251,0.775890540366912,-16.765421390026933,0.4432583520315122,7.346286124588961,1401,1027,374,73.30478229835832,220.75658159013375,-387.71579758472393,468.37509408716187,-1305.6036362562008,1.5635040299875396,16.16345467523198,46,71,64.7887323943662,4.670442136205355,-5.353726402908987,0.6279685776205466,,0.6072749589534119,12
21,0.35,0.17,0.9,0.30000000000000004,5,150000,224157.6467159762,74157.64671597621,49.43843114398414,6.97693224414897,0.7367714457164347,0.7726873545417301,-14.9435915147848,0.466884566353823,6.757194829752235,1401,1010,391,72.09136331192005,204.83892680711782,-334.80401370650793,434.28570760074547,-1172.7534315975836,1.5803979309179197,17.931477516059957,47,71,66.19718309859155,4.12788275343603,-4.887615575378068,0.5885256878221353,,0.6254449790552487,18
24,0.35,0.19,0.9,0.3,5,150000,219094.639991652,69094.63999165196,46.06309332776797,6.567404073225225,0.7022868097113545,0.7681686006178279,-14.33486170654758,0.45814212984179,6.519473659040852,1217,894,323,73.45932621199671,199.40198638785185,-334.80002595347975,412.4777662610445,-1209.2976493273718,1.6484622029484246,15.80443714050945,50,71,70.4225352112676,4.571553342925783,-4.69794297048497,0.5562979347193647,,0.5326808067319088,42
27,0.35,0.1699999999999999,0.9,0.3,5,150000,235203.9079665652,85203.90796656517,56.80260531104344,7.844371824010565,0.7004917821621571,0.7696681075713743,-19.08324904535612,0.4110606011254401,8.444354737364819,1253,936,317,74.70071827613727,236.55506389778287,-427.49247644183015,477.30146579734674,-1412.761766769927,1.6338807649312204,18.599361532322423,48,71,67.6056338028169,6.37567438592852,-6.415062508057856,0.6710419226695964,,0.5602705708868887,27
24,0.35,0.1699999999999999,0.9,0.3,5,150000,224851.04080498675,74851.04080498673,49.90069386999115,7.032417593248486,0.6991419897105301,0.7566638692054876,-15.861322723187188,0.4433689242680881,7.243643174856611,1218,905,313,74.30213464696223,218.53165204902672,-389.73881651068297,477.30146579734674,-1209.2976493273718,1.6212311087747735,15.780788177339902,50,71,70.4225352112676,5.040565864781987,-5.318472795974849,0.5966680059351207,,0.5329401441340521,48
21,0.35,0.19,0.9,0.30000000000000004,5,150000,215176.90922585444,65176.90922585444,43.451272817236294,6.24507342960543,0.6991407395692955,0.7548531680726102,-13.3398484822388,0.4681517513426308,6.0751804295820975,1401,998,403,71.23483226266953,184.419260709144,-290.45214134467597,401.9087483076697,-1061.7897201837561,1.5723788344576315,17.743754461099215,46,71,64.7887323943662,3.6882419834865177,-4.50832239429152,0.5264975389862765,,0.5956984283106826,15
21,0.35,0.17,0.9,0.30000000000000004,7,150000,217400.1821606705,67400.18216067049,44.933454773780326,6.428586302581585,0.6962441162636975,0.7514704158957842,-12.459430777086737,0.5159614766995573,6.375546550116275,1401,978,423,69.80728051391864,195.0017509126568,-287.21094617479787,434.28570760074547,-1106.2044863892752,1.56976994799077,16.705924339757317,45,71,63.38028169014085,4.079397220122183,-4.604350837176552,0.5425778841378756,,0.5992173378234634,21
21,0.35,0.1699999999999999,0.9,0.3,5,150000,219010.0750062199,69010.07500621991,46.00671667081327,6.560497337900095,0.6746665651945108,0.7228222562968651,-15.403336826447047,0.4259140348496389,6.805150459604907,1205,888,317,73.6929460580913,211.32682505375163,-370.758893299898,433.2280928863998,-1209.2976493273718,1.596675843257497,14.854771784232366,48,71,67.6056338028169,4.664920903722303,-5.222351847617823,0.556725268131711,,0.5304810986375683,35
24,0.35,0.21,0.9,0.3,5,150000,209618.715515244,59618.715515244,39.745810343496,5.779290735413611,0.6683599680838512,0.739669627737539,-12.235232530519111,0.4723482550084734,5.660338543756563,1200,864,336,72.0,179.28341767114668,-280.0845283384864,378.9578039764507,-995.4200511090276,1.6459834654836971,15.715833333333334,47,71,66.19718309859155,3.549277199932943,-4.048900193015459,0.4884005180985246,,0.5266717213292397,24
21,0.35,0.19,0.8,0.30000000000000004,5,150000,210711.56310783626,60711.563107836264,40.47437540522418,5.871677547908716,0.6549959560543624,0.7192367157474618,-13.337643050191009,0.4402335199564834,5.933549189088691,1401,1012,389,72.23411848679515,174.8295231913943,-294.0735587709201,401.9087483076697,-1061.7897201837561,1.546641670647012,14.89007851534618,46,71,64.7887323943662,3.597059517612178,-4.6068742301594305,0.49468957264010815,,0.5715519438501556,18
